day,Actual.Stop.Station,Segment.Direction,Service.Line,Leading.Set.Type,Node.Seq.Order,Actual.Station.Dprt.Time.Band,Occupancy Status,is_weekend,is_peak
9,175,0,13,8,18,1,0,0,0
13,16,0,19,0,16,32,0,0,1
12,4,0,13,8,6,29,0,0,1
13,78,0,2,0,7,29,0,0,1
11,19,1,2,4,7,74,0,0,1
12,9,0,13,8,9,75,0,0,1
10,54,1,13,8,16,56,0,0,0
13,58,1,6,5,4,27,0,0,0
12,129,0,10,2,4,31,0,0,1
15,261,0,6,0,6,44,0,1,0
15,29,1,26,9,16,81,0,1,0
10,220,0,1,5,15,73,0,0,1
13,239,0,6,5,3,71,0,0,1
11,146,1,21,8,9,76,0,0,0
14,60,0,26,0,6,85,0,1,0
16,85,1,10,8,2,70,0,0,1
11,71,0,15,0,10,80,0,0,0
14,105,1,24,0,14,70,0,1,1
15,183,0,26,9,20,90,0,1,0
12,169,0,24,0,9,34,0,0,1
10,258,1,19,0,3,46,0,0,0
13,45,0,2,0,10,29,0,0,1
15,291,1,1,0,10,35,0,1,1
13,203,1,26,8,11,94,0,0,0
10,54,1,13,2,19,69,0,0,1
11,185,1,6,5,6,83,0,0,0
15,261,1,19,0,17,31,0,1,1
11,218,1,18,0,11,89,0,0,0
13,144,0,2,0,1,21,0,0,0
10,205,0,26,8,13,66,0,0,1
13,194,0,21,0,5,76,0,0,0
13,132,0,13,8,8,79,0,0,0
12,149,0,2,5,25,68,0,0,1
15,213,1,13,2,1,86,0,1,0
12,205,1,26,0,4,23,0,0,0
16,105,0,24,0,10,78,0,0,0
10,89,1,19,0,7,28,0,0,1
10,32,1,10,8,1,28,0,0,1
13,173,1,13,2,3,16,0,0,0
12,62,0,17,2,29,61,0,0,0
13,304,1,24,0,10,51,0,0,0
10,259,0,11,3,9,16,0,0,0
16,134,1,17,2,24,64,0,0,1
11,98,1,24,5,3,79,0,0,0
13,26,1,2,5,1,83,0,0,0
12,184,1,26,0,5,17,0,0,0
10,11,1,13,8,13,84,0,0,0
12,46,1,24,0,12,87,0,0,0
12,44,1,1,0,2,86,0,0,0
12,304,1,24,0,10,82,0,0,0
14,130,1,1,0,6,63,0,1,0
10,13,0,9,0,5,17,0,0,0
15,201,1,1,0,12,53,0,1,0
13,105,0,24,5,10,40,0,0,0
11,247,1,13,8,7,27,0,0,0
12,35,0,11,6,12,75,0,0,1
15,303,0,2,5,16,60,0,1,0
12,301,1,21,0,19,79,0,0,0
14,68,0,17,9,10,2,0,1,0
12,194,0,21,0,5,70,1,0,1
10,239,0,6,0,3,44,0,0,0
13,95,1,24,0,16,33,1,0,1
13,245,1,26,9,11,67,0,0,1
11,164,1,1,5,13,57,0,0,0
11,79,1,3,4,3,59,0,0,0
16,88,0,13,8,17,85,0,0,0
16,224,0,1,0,13,46,0,0,0
14,106,0,13,8,15,69,0,1,1
13,283,0,26,0,12,5,0,0,0
12,54,1,6,0,7,57,0,0,0
11,9,0,13,8,9,43,0,0,0
14,194,1,19,0,14,58,0,1,0
10,218,0,13,2,2,37,0,0,1
11,83,1,26,0,2,25,0,0,0
15,44,0,1,0,19,73,0,1,1
10,231,0,13,2,6,80,0,0,0
11,56,0,19,0,15,80,0,0,0
16,27,0,26,9,23,38,0,0,1
10,235,0,26,0,11,26,0,0,0
13,53,0,24,5,17,62,0,0,0
13,128,0,21,0,13,1,0,0,0
12,140,0,24,0,5,22,0,0,0
16,293,1,21,8,11,35,0,0,1
15,149,0,24,0,16,44,0,1,0
11,28,0,26,8,16,79,0,0,0
15,221,1,18,0,6,42,0,1,0
12,161,1,10,8,4,73,0,0,1
11,117,0,15,0,13,69,0,0,1
14,54,1,10,8,6,52,0,1,0
14,154,1,15,0,11,69,0,1,1
13,111,0,13,8,18,5,0,0,0
13,261,1,21,8,19,63,0,0,0
13,247,0,13,2,5,64,0,0,1
11,38,0,13,2,11,81,0,0,0
11,185,1,6,5,6,94,0,0,0
15,42,0,24,0,14,29,0,1,1
15,190,0,17,2,18,93,0,1,0
10,87,1,26,2,1,66,0,0,1
11,245,1,18,0,9,29,0,0,1
11,216,1,21,0,6,28,0,0,1
16,272,1,21,8,2,66,0,0,1
12,157,0,19,0,13,83,0,0,0
11,218,0,26,8,2,79,0,0,0
15,194,1,21,0,20,56,0,1,0
10,235,0,26,0,7,60,0,0,0
10,240,0,19,0,8,41,0,0,0
11,34,1,24,6,2,35,0,0,1
14,61,1,13,2,19,52,0,1,0
11,216,1,21,0,6,70,0,0,1
11,144,1,26,0,22,25,0,0,0
12,301,1,6,7,3,65,0,0,1
10,235,0,26,2,15,50,0,0,0
11,171,0,21,0,4,26,0,0,0
11,41,1,26,2,22,59,0,0,0
14,253,0,20,3,10,71,0,1,1
14,194,1,19,0,14,92,0,1,0
13,239,1,6,0,5,84,0,0,0
11,142,0,26,9,20,65,0,0,1
13,218,0,13,8,2,67,0,0,1
15,161,0,10,2,3,27,0,1,0
10,53,1,24,5,4,36,0,0,1
14,303,1,2,5,10,83,0,1,0
15,152,1,23,2,4,37,0,1,1
13,127,0,13,2,18,91,0,0,0
15,206,1,19,0,4,26,0,1,0
13,153,0,1,0,19,59,0,0,0
15,272,0,21,0,19,95,0,1,0
14,243,1,15,0,9,61,0,1,0
12,304,0,24,5,11,75,0,0,1
11,86,1,24,0,2,84,0,0,0
14,207,0,26,0,4,89,0,1,0
11,218,1,18,0,11,33,2,0,1
15,68,0,17,2,7,34,0,1,1
12,11,1,0,8,6,69,0,0,1
11,24,0,1,0,11,34,0,0,1
14,261,1,10,8,5,40,0,1,0
15,291,1,1,0,10,87,0,1,0
16,4,1,13,8,7,26,0,0,0
14,151,0,13,8,17,46,0,1,0
11,197,0,13,8,7,73,1,0,1
13,58,1,6,0,4,72,0,0,1
14,274,0,20,3,4,23,0,1,0
16,282,0,26,9,19,88,0,0,0
11,248,1,2,0,16,70,0,0,1
16,79,0,3,7,5,63,0,0,0
12,280,1,13,2,10,27,0,0,0
11,291,0,13,2,3,24,0,0,0
14,54,0,19,0,1,56,0,1,0
14,303,0,2,0,16,85,0,1,0
13,120,1,13,8,9,30,1,0,1
12,181,0,26,0,11,42,0,0,0
12,118,0,21,0,20,79,0,0,0
11,258,0,19,4,18,84,0,0,0
10,89,0,18,8,12,27,0,0,0
11,291,1,13,8,15,50,0,0,0
16,92,0,13,2,16,48,0,0,0
13,42,1,24,0,7,59,0,0,0
16,261,0,21,0,2,95,0,0,0
16,6,1,15,5,5,25,0,0,0
11,8,0,24,5,7,78,0,0,0
12,260,0,26,0,14,35,0,0,1
12,301,1,6,0,3,27,0,0,0
10,301,1,21,4,18,74,0,0,1
16,28,1,26,0,8,83,0,0,0
11,220,0,9,0,12,18,0,0,0
15,291,1,1,0,15,44,0,1,0
10,194,1,19,8,16,41,0,0,0
10,54,0,26,8,1,42,0,0,0
16,25,0,1,5,9,24,0,0,0
14,56,1,19,0,6,70,0,1,1
11,58,0,6,0,4,80,0,0,0
10,245,0,26,0,4,41,0,0,0
12,6,0,15,7,9,50,0,0,0
13,99,1,21,0,11,83,0,0,0
12,75,1,26,8,7,71,0,0,1
12,76,0,17,2,24,59,0,0,0
11,116,1,9,5,7,32,0,0,1
13,218,0,13,2,2,49,0,0,0
11,228,1,21,0,4,34,0,0,1
14,298,0,14,2,7,74,0,1,1
14,102,0,26,0,6,50,0,1,0
12,169,1,24,4,12,59,0,0,0
10,185,1,6,0,6,36,0,0,1
12,270,0,26,0,14,89,0,0,0
15,119,1,2,0,10,86,0,1,0
12,88,1,13,8,3,70,0,0,1
14,56,1,19,0,6,56,0,1,0
11,84,0,18,0,11,43,0,0,0
13,54,0,6,0,1,92,0,0,0
10,144,0,22,7,2,79,0,0,0
13,277,1,21,8,4,66,0,0,1
14,18,0,14,2,6,62,0,1,0
13,291,0,13,8,5,85,0,0,0
11,119,0,2,5,8,71,0,0,1
12,85,1,10,8,2,66,0,0,1
13,3,0,13,8,11,63,0,0,0
10,185,0,6,5,2,85,0,0,0
16,245,1,15,5,2,73,0,0,1
10,279,0,2,5,24,77,0,0,0
11,245,1,26,0,17,80,0,0,0
15,53,0,24,0,17,53,0,1,0
12,239,1,6,0,5,26,0,0,0
11,98,1,24,4,3,77,0,0,0
13,141,1,24,5,2,83,0,0,0
13,189,1,15,0,10,78,0,0,0
10,203,1,26,0,10,29,1,0,1
10,279,1,24,5,6,79,0,0,0
12,180,1,21,0,3,26,0,0,0
11,142,1,26,9,5,22,0,0,0
14,171,0,21,0,4,37,0,1,1
12,229,0,3,4,6,18,0,0,0
14,56,0,19,0,13,79,0,1,0
11,271,1,21,0,3,82,0,0,0
16,203,0,26,0,10,53,0,0,0
12,49,0,13,8,14,70,0,0,1
15,261,1,21,0,23,45,0,1,0
15,132,1,13,8,6,59,0,1,0
13,118,1,21,4,1,64,0,0,1
11,78,1,2,5,11,81,0,0,0
15,121,1,24,5,4,30,0,1,1
12,198,0,22,7,1,33,0,0,1
11,245,1,18,0,9,54,0,0,0
12,262,1,13,2,9,53,0,0,0
13,301,0,21,0,3,40,0,0,0
16,54,0,26,0,1,73,2,0,1
14,119,1,2,0,10,88,0,1,0
12,165,0,18,0,8,23,0,0,0
12,21,1,11,6,8,7,0,0,0
13,28,1,26,2,9,38,0,0,1
16,155,1,7,4,5,41,0,0,0
10,130,0,1,0,10,67,0,0,1
12,3,0,13,8,11,84,0,0,0
14,234,0,2,5,18,43,0,1,0
13,99,1,21,0,11,81,0,0,0
10,193,1,18,0,8,48,0,0,0
10,272,1,21,0,2,35,0,0,1
10,226,1,26,0,6,51,0,0,0
14,174,0,24,0,21,84,0,1,0
13,254,1,3,1,2,39,0,0,1
16,32,1,10,8,1,61,0,0,0
11,222,0,26,0,18,76,0,0,0
14,154,1,15,0,11,2,0,1,0
13,45,0,2,5,10,80,0,0,0
13,235,0,26,4,15,55,0,0,0
11,303,0,2,4,16,65,0,0,1
11,212,1,17,2,22,60,0,0,0
16,180,1,21,0,3,94,0,0,0
12,180,1,21,8,3,48,0,0,0
11,55,1,19,0,11,79,0,0,0
11,144,0,26,0,4,91,0,0,0
15,224,1,1,0,3,56,0,1,0
11,296,1,26,9,7,32,0,0,1
10,54,1,10,8,6,70,1,0,1
11,158,0,11,3,14,57,0,0,0
12,8,1,26,8,11,69,0,0,1
16,84,0,18,0,11,36,0,0,1
16,285,1,18,0,4,81,0,0,0
14,218,0,15,5,2,67,0,1,1
12,122,1,1,0,11,28,0,0,1
16,283,0,26,0,12,83,0,0,0
12,129,0,10,8,4,56,0,0,0
12,41,1,15,0,3,27,0,0,0
12,71,0,15,0,10,84,0,0,0
11,271,1,21,0,3,66,0,0,1
15,160,0,2,0,6,43,0,1,0
16,277,0,21,4,14,77,0,0,0
11,166,0,26,9,22,82,0,0,0
16,194,0,19,0,5,26,0,0,0
16,89,1,19,0,7,71,0,0,1
12,184,1,26,0,5,56,0,0,0
12,165,1,18,8,5,55,0,0,0
14,264,1,21,0,5,81,0,1,0
13,85,0,10,8,5,55,0,0,0
13,239,1,6,5,5,67,0,0,1
12,143,0,15,0,7,38,0,0,1
11,281,0,19,0,6,55,0,0,0
16,129,0,10,8,4,55,0,0,0
16,261,0,10,8,2,34,2,0,1
16,155,0,7,4,22,63,0,0,0
12,128,0,21,0,13,56,0,0,0
16,118,0,21,0,20,21,0,0,0
10,147,1,17,2,18,51,0,0,0
16,75,0,26,0,12,92,0,0,0
11,291,1,1,0,10,81,0,0,0
12,146,0,21,0,12,19,0,0,0
16,103,1,1,0,14,50,0,0,0
10,85,1,10,8,2,87,0,0,0
14,291,1,13,8,16,39,0,1,1
10,155,0,24,4,19,78,0,0,0
11,54,0,6,5,1,34,1,0,1
12,54,1,6,4,1,69,0,0,1
10,55,0,21,8,10,74,1,0,1
12,198,1,22,7,2,66,0,0,1
13,99,0,21,0,14,33,0,0,1
13,295,0,17,2,10,64,0,0,1
13,102,0,26,1,8,73,0,0,1
11,218,1,18,8,7,34,0,0,1
10,52,1,2,0,4,67,0,0,1
13,122,1,1,5,11,54,0,0,0
10,2,1,13,2,6,12,0,0,0
13,293,0,21,0,7,83,0,0,0
12,118,1,21,0,1,27,0,0,0
15,111,0,13,8,10,22,0,1,0
13,279,0,7,4,18,46,0,0,0
11,264,1,21,4,5,64,0,0,1
15,293,0,21,0,7,26,0,1,0
16,164,1,1,0,13,81,0,0,0
10,108,0,7,7,11,39,0,0,1
11,140,1,24,4,1,55,0,0,0
14,291,0,1,0,6,54,0,1,0
12,245,1,26,9,22,29,0,0,1
14,131,0,26,0,3,2,0,1,0
12,47,0,2,5,9,59,0,0,0
13,98,0,24,0,18,51,0,0,0
16,85,0,10,8,5,24,0,0,0
15,202,1,1,0,10,67,0,1,1
13,240,0,21,0,8,85,0,0,0
11,130,1,1,0,6,78,0,0,0
15,126,0,13,2,21,49,0,1,0
16,285,1,18,8,4,40,0,0,0
12,92,0,13,8,16,88,0,0,0
16,108,1,26,0,12,90,0,0,0
